"time","level","v1","v2","q_in","q_out","v1_cmd","v2_cmd"
111.5,386.2077113278334,0.9999999999999978,0.9970415678688067,3.7999999999999914,3.154445910927567,1,1
112.0,386.5295287576555,0.9999999999999978,0.9977032815052613,3.7999999999999914,3.157855110286363,1,1
112.5,386.8497768309455,0.9999999999999978,0.9982169894017655,3.7999999999999914,3.1607903462403133,1,1
113.0,387.1686625185445,0.9999999999999978,0.9986157960582895,3.7999999999999914,3.1633567678270307,1,1
113.5,387.4863469181524,0.9999999999999978,0.998925401478744,3.7999999999999914,3.1656360444490166,1,1
114.0,387.80295549775104,0.9999999999999978,0.9991657573374204,3.7999999999999914,3.1676916088318743,1,1
114.5,388.11858605163314,0.9999999999999978,0.9993523527100574,3.7999999999999914,3.169572729427898,1,1
115.0,388.4333148797471,0.9999999999999978,0.9994972122249501,3.7999999999999914,3.171317673533058,1,1
115.5,388.7472015870698,0.9999999999999978,0.9996096709572244,3.7999999999999914,3.172956164098533,1,1
116.0,389.06029281115576,0.9999999999999978,0.9996969760022126,3.7999999999999914,3.17451128792334,1,1
116.5,389.37262511721065,0.9999999999999978,0.9997647534946873,3.7999999999999914,3.1760009777207063,1,1
117.0,389.68422724659763,0.9999999999999978,0.9998173711697227,3.7999999999999914,3.1774391632076906,1,1
117.5,389.9951218631689,0.9999999999999978,0.9998582198294332,3.7999999999999914,3.1788366651256332,1,1
118.0,390.3053269095739,0.9999999999999978,0.9998899318539389,3.7999999999999914,3.180201889597737,1,1
118.5,390.61485666064914,0.9999999999999978,0.9999145508379,3.7999999999999914,3.1815413674121555,1,1
119.0,390.9237225415422,0.9999999999999978,0.9999336632843846,3.7999999999999914,3.182860172862487,1,1
119.5,391.23193376311497,0.9999999999999978,0.9999485008427175,3.7999999999999914,3.1841622490440282,1,1
120.0,391.5394978154342,0.9999999999999978,0.9999600196787525,3.7999999999999914,3.1854506604973265,1,1
120.5,391.84642085104576,0.9999999999999978,0.9999689620923643,3.7999999999999914,3.1867277894250297,1,1
121.0,392.1527079826485,0.9999999999999978,0.999975904352933,3.7999999999999914,3.18799548808433,1,1
121.5,392.45836351428625,0.9999999999999978,0.9999812938354483,3.7999999999999914,3.1892551971428347,1,1
